Rank,Game Title,Platform,Year,fa,Publisher,North America,Europe,Japan,Rest of World,Global
175,Super Mario Land 3: Wario Land,GB,1994,Platform,Nintendo,2.49,0.98,1.57,0.15,5.19
176,Assassin's Creed III,X360,2012,Action,Ubisoft,3.03,1.69,0.03,0.43,5.17
177,Professor Layton and the Curious Village,DS,2007,Adventure,Nintendo,1.2,2.42,1.03,0.52,5.17
178,Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995,Platform,Nintendo,2.1,0.74,2.2,0.11,5.15
179,FIFA Soccer 13,X360,2012,Action,Electronic Arts,1.06,3.47,0.03,0.58,5.14
180,Medal of Honor: Rising Sun,PS2,2003,Shooter,Electronic Arts,1.98,2.23,0.13,0.8,5.13
181,Kirby's Dream Land,GB,1992,Platform,Nintendo,2.71,0.61,1.7,0.11,5.13
182,Microsoft Flight Simulator,PC,1996,Simulation,Microsoft Game Studios,3.22,1.69,0,0.2,5.12
183,Guitar Hero II,PS2,2006,Misc,RedOctane,3.81,0.63,0,0.68,5.12
184,Mario & Sonic at the Olympic Games,DS,2008,Sports,Sega,1.62,2.44,0.44,0.58,5.09
185,Super Mario Bros.,GB,1999,Platform,Nintendo,3.4,1.3,0.15,0.22,5.07
186,The Legend of Zelda: Phantom Hourglass,DS,2007,Action,Nintendo,1.83,1.79,0.95,0.48,5.05
187,FIFA Soccer 11,PS3,2010,Sports,Electronic Arts,0.59,3.27,0.06,1.12,5.05
188,Resident Evil 5,PS3,2009,Action,Capcom,1.94,1.4,1.08,0.64,5.05
189,Resident Evil,PS,1996,Action,Virgin Interactive,2.05,1.16,1.11,0.73,5.05
190,Fable III,X360,2010,Role-Playing,Microsoft Game Studios,3.55,1.07,0.05,0.37,5.04
191,Tony Hawk's Pro Skater,PS,1999,Sports,Activision,3.42,1.38,0.02,0.2,5.02
192,Grand Theft Auto: Vice City Stories,PSP,2006,Action,Take-Two Interactive,1.68,1.97,0.16,1.2,5.01
193,Warzone 2100,PS,1999,Strategy,Eidos Interactive,2.79,1.89,0,0.33,5.01
194,Spyro the Dragon,PS,1998,Platform,Sony Computer Entertainment,3.36,1.36,0.07,0.21,5
195,Guitar Hero III: Legends of Rock,PS2,2007,Misc,Activision,3.49,0.01,0.01,1.48,4.98
196,Link's Crossbow Training,Wii,2007,Shooter,Nintendo,3.05,1.17,0.29,0.46,4.97
197,Pokemon Mystery Dungeon: Explorers of Time / Darkness,DS,2007,Role-Playing,Nintendo,1.83,1.18,1.54,0.37,4.93
198,Madden NFL 06,PS2,2005,Sports,Electronic Arts,3.98,0.26,0.01,0.66,4.91
199,Diddy Kong Racing,N64,1997,Racing,Nintendo,2.91,0.99,0.89,0.1,4.88
200,Monster Hunter Freedom 3,PSP,2010,Role-Playing,Capcom,0,0,4.87,0,4.87
201,Dr. Mario,NES,1990,Puzzle,Nintendo,2.62,0.6,1.52,0.1,4.85
202,Uncharted: Drake's Fortune,PS3,2007,Action,Sony Computer Entertainment,2.24,1.71,0.12,0.76,4.83
